Para analizar los resultados pueden hacer una copia (Archivo > Crear una copia) o bajar los csv de cada país (Archivo > Descargar como),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recuerden calificar empresas en www.openqube.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Gente a cargo?,¿Cuánta?,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especialización,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a julio 2017,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en 2017?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,4,4,No,0,Universitario,Incompleto,Lic  en seguridad de la información y telecomunicaciones,"Sí, de forma particular",Soporte on site,,,,,,,,,,Part-Time,17000,Neto,3,3,No,No recibo bono,Dos,25,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,9,3,Sí,2,Posgrado,Completado,Ingenieria Informática,"Sí, los pagó un empleador",PM,,,,,,,,,,Full-Time,45000,Bruto,2,2,Un sueldo,Mix de las anteriores,Más de dos,35,11-50,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,6,Menos de un año,No,0,Terciario,Completado,Técnico superior en desarrollo de sistemas,"Sí, de forma particular",Developer,,PHP,,,,,No,0,Bruto,Remoto (empresa de otro país),60000,Bruto,3,4,Un sueldo,Performance de la compañía,Uno,15,51-100,Sí,Salario,Aumento por inflación
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Terciario,Completado,soporte IT,"Sí, de forma particular",Networking,,,,,,,No,0,Bruto,Full-Time,23000,Bruto,2,2,No,No recibo bono,No,0,51-100,Sí,la me absorvio de una empresa tercerisadora,Descuentos en gimnasios
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5,1,No,0,Universitario,Completado,Contador,"Sí, los pagó un empleador",PM,,,,,,,,,,Full-Time,40000,Bruto,2,3,Menos de un sueldo,Mix de las anteriores,Uno,23,2001-5000,No,No cambié de empresa,"Bonos por desempeño, Capacitaciones y/o cursos, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,7,Sí,20,Universitario,Completado,,"Sí, de forma particular, Sí, los pagó un empleador",Management,,,,,,,,,,Full-Time,130000,Bruto,4,4,De uno a tres sueldos,Mix de las anteriores,Dos,24,51-100,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Laptop, Stock options / Shares, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,8,8,Sí,1,Terciario,En curso,marketing,"Sí, de forma particular",SysAdmin / DevOps,"Linux, Windows","HTML, Java",,,,,No,0,Porcentaje de mi sueldo,Full-Time,25000,Neto,3,2,No,No recibo bono,Dos,26,101-200,No,No cambié de empresa,Aumento por inflación
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,10+,Sí,6,Universitario,Incompleto,Ciencias de la computación,"Sí, los pagó un empleador",Architect,,,,,,,,,,Full-Time,45000,Bruto,3,3,No,No recibo bono,Más de dos,15,51-100,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,9,4,No,0,Universitario,En curso,Ciencias de la Compuatción,No,Developer,,"Assembler, C, C++, C#",,,,,No,0,Porcentaje de mi sueldo,Full-Time,59000,Bruto,3,4,No,No recibo bono,Dos,26,201-500,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Masajes, Playroom"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,7,3,No,0,Secundario,Completado,,No,SysAdmin / DevOps,"Linux, Amazon Web Services, Docker / Containers, Gcloud","Java, Javascript, Python",,,,,No,0,Neto,Full-Time,78000,Bruto,3,3,De uno a tres sueldos,Performance individual,Dos,25.5,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Cuota para universidad, Descuentos en gimnasios, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,4,4,No,0,Universitario,En curso,Ingeniería en informática,No,Developer,,"HTML, Java",,,,,No,0,Porcentaje de mi sueldo,Full-Time,27082,Neto,3,3,Un sueldo,Performance individual,Dos,29.6,201-500,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Universitario,En curso,Ing en Sistemas,"Sí, de forma particular",SysAdmin / DevOps,"Linux, Windows",SAP,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,40000,Bruto,2,1,No,No recibo bono,No,0,2001-5000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,4,1,Sí,1,Universitario,En curso,ciencias de la computacion,"Sí, los pagó un empleador",Developer,,"C++, Python",,,,,No,0,Bruto,Full-Time,60000,Bruto,4,4,No,No recibo bono,No,0,1-10,No,No cambié de empresa,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Universitario,En curso,Técnico universitario en software libre,"Sí, de forma particular",Networking,,,,,,,"Sí, pasiva",160,Neto,Full-Time,20000,Neto,3,4,Menos de un sueldo,Performance individual,Dos,20,51-100,Sí,Desafíos profesionales,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Viáticos"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,2,1,No,0,Universitario,En curso,Ing sistemas,"Sí, de forma particular",Analista funcional,,,,,,,,,,Full-Time,25000,Neto,3,3,No,No recibo bono,Más de dos,25,101-200,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Cuota para universidad"
Mujer,37 - 40,Ciudad Autónoma de Buenos Aires,10+,3,Sí,3,Posgrado,Incompleto,Licenciatura en Analisis de Sistemas,"Sí, de forma particular",Business Intelligence,,,,,,,,,,Full-Time,48000,Neto,3,3,Un sueldo,Mix de las anteriores,Dos,17,201-500,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,9,2,No,0,Terciario,Completado,,"Sí, de forma particular, Sí, los pagó un empleador",SysAdmin / DevOps,"Linux, Windows, Docker / Containers, OpenStack, VMWare",Python,,,,,No,0,Porcentaje de mi sueldo,Full-Time,33000,Neto,2,1,No,No recibo bono,Dos,20,2001-5000,No,No cambié de empresa,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Mujer,27 - 30,Ciudad Autónoma de Buenos Aires,9,1,No,0,Universitario,En curso,Ingeniería,"Sí, de forma particular, Sí, los pagó un empleador",PM,,,,,,,,,,Full-Time,44000,Bruto,2,2,No,No recibo bono,Dos,20,1001-2000,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,3,3,No,0,Universitario,Incompleto,,"Sí, de forma particular",SysAdmin / DevOps,"Linux, Windows, Amazon Web Services, Docker / Containers","PHP, Python",,,,,"Sí, activa",0,Porcentaje de mi sueldo,Full-Time,31225,Bruto,2,2,No,No recibo bono,Uno,10,201-500,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Universitario,En curso,Ingeniería Informática,"Sí, de forma particular, Sí, los pagó un empleador",Tech Lead,,,,,,,,,,Full-Time,54000,Neto,3,3,No,No recibo bono,No,0,1001-2000,Sí,Desafíos profesionales,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Masajes, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,5,No,0,Universitario,Incompleto,Ciencias de la computacion,"Sí, de forma particular",Architect,,,,,,,,,,Part-Time,28000,Neto,1,1,No,No recibo bono,Dos,12,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,1,1,No,0,Terciario,En curso,Sistemas,"Sí, los pagó un empleador",QA / Tester,,,"Java, Python",Automation,Selenium,,,,,Full-Time,22000,Neto,3,4,No,No recibo bono,Dos,17,101-200,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Laptop, Masajes, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,No,0,Universitario,Incompleto,Ingeniería en Computación,"Sí, de forma particular",Developer,,"CSS, HTML, Javascript",,,,,No,0,Porcentaje de mi sueldo,Full-Time,15350,Neto,3,3,No,No recibo bono,No,0,101-200,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Masajes, Playroom, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,2,Menos de un año,No,0,Universitario,En curso,Lic en sistemas,No,Developer,,Javascript,,,,,No,0,Porcentaje de mi sueldo,Full-Time,30000,Neto,3,2,No,No recibo bono,No,0,101-200,No,No cambié de empresa,"Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,9,3,No,0,Universitario,Completado,Lic en Sistemas - UNLP,"Sí, de forma particular",Developer,,Ruby,,,,,No,0,Bruto,Freelance,21000,Neto,3,4,No,No recibo bono,Dos,20,51-100,No,No cambié de empresa,nada
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,5,No,0,Posgrado,En curso,Ing Sistemas,"Sí, los pagó un empleador",SysAdmin / DevOps,"AIX, Linux, Solaris, Windows, VMWare",Java,,,,,No,0,Porcentaje de mi sueldo,Full-Time,44500,Bruto,2,2,Menos de un sueldo,Mix de las anteriores,Dos,31,51-100,No,No cambié de empresa,"Abono de celular y/o Internet, Descuentos en gimnasios, Laptop, Viajes al exterior"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,4,4,No,0,Universitario,En curso,Ingenieria mecanica,"Sí, de forma particular, Sí, los pagó un empleador",SysAdmin / DevOps,"Linux, Windows","C#, HTML, Javascript, jQuery, PHP, Python",,,,,"Sí, pasiva",750,Neto,Full-Time,30000,Neto,3,2,Menos de un sueldo,Performance individual,Uno,4,201-500,No,No cambié de empresa,"Capacitaciones y/o cursos, Laptop"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Universitario,Incompleto,Licenciatura en sistemas,"Sí, de forma particular, Sí, los pagó un empleador",SysAdmin / DevOps,"Linux, Windows, VMWare",Python,,,,,"Sí, pasiva",5000,Neto,Full-Time,40000,Bruto,3,3,No,No recibo bono,No,0,2001-5000,Sí,Salario,"Capacitaciones y/o cursos, Clases de idiomas, Cuota para universidad, Descuentos en gimnasios, Horarios flexibles, Masajes, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,7,Menos de un año,No,0,Universitario,Completado,Ingenieria en informatica,No,Developer,,".NET, HTML, Javascript, AngularJS , less",,,,,No,0,Bruto,Freelance,41000,Bruto,3,4,No,No recibo bono,No,0,1-10,Sí,Salario,WFH (Trabajar desde casa)
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3,Menos de un año,No,0,Secundario,Completado,,No,SysAdmin / DevOps,"Linux, Amazon Web Services, Docker / Containers",Python,,,,,No,0,Bruto,Full-Time,75000,Bruto,3,4,De uno a tres sueldos,Performance grupal,Dos,25,101-200,Sí,Salario,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, Masajes, Playroom, Snacks, golosinas, bebidas, Stock options / Shares, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,10+,Sí,2,Universitario,Completado,Ingeniero en Sistemas,"Sí, de forma particular, Sí, los pagó un empleador",Gerente de it,,,,,,,,,,Full-Time,110000,Bruto,3,3,De uno a tres sueldos,Performance individual,Dos,15,51-100,No,No cambié de empresa,"Abono de celular y/o Internet, Snacks, golosinas, bebidas"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,10+,No,0,Universitario,Incompleto,Diseño de imagen y sonido,"Sí, de forma particular, Sí, los pagó un empleador",Developer,,"CSS, HTML, Javascript, jQuery, NodeJS, PHP",,,,,No,0,Neto,Full-Time,35000,Bruto,2,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,10+,Sí,1,Universitario,Completado,Cs politica,No,Developer,,"HTML, Javascript, jQuery, Perl, PHP, Python",,,,,"Sí, pasiva",0,Bruto,Full-Time,42000,Neto,3,3,No,No recibo bono,Uno,21,2001-5000,No,No cambié de empresa,Comidas pagas/subvencionadas
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,Sí,3,Universitario,En curso,Ing Electronica,"Sí, de forma particular, Sí, los pagó un empleador",PM,,,,,,,,,,Full-Time,60000,Bruto,3,2,No,No recibo bono,Dos,25,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,5,3,No,0,Universitario,Incompleto,ingeniería en informática,"Sí, los pagó un empleador",SysAdmin / DevOps,Linux,ninguno,,,,,"Sí, pasiva",0,Neto,Full-Time,20000,Neto,3,2,No,No recibo bono,Uno,10,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,1,1,No,0,Terciario,Completado,,"Sí, los pagó un empleador",Developer,,".NET, C#, HTML, Javascript, jQuery",,,,,No,0,Porcentaje de mi sueldo,Full-Time,15000,Neto,2,2,No,No recibo bono,Dos,12,201-500,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Descuentos en gimnasios, Laptop, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,4,No,0,Universitario,En curso,Lic. Informática,"Sí, de forma particular",Networking,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,55000,Bruto,4,3,No,No recibo bono,Dos,30,501-1000,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Masajes"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,4,No,0,Universitario,En curso,Ingeniería en Sistemas de Información,"Sí, de forma particular",Networking,,,,,,,"Sí, pasiva",0,Bruto,Full-Time,34500,Neto,3,2,No,No recibo bono,Dos,22,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Descuentos en gimnasios, Laptop"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,2,No,0,Universitario,Completado,Ingeniería,"Sí, de forma particular, Sí, los pagó un empleador",Architect,,,,,,,,,,Full-Time,100000,Bruto,3,2,De uno a tres sueldos,Mix de las anteriores,Uno,20,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Bonos por desempeño, Capacitaciones y/o cursos, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Guardería, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,5,2,No,0,Universitario,Incompleto,Ciencias de la computacion,No,Developer,,Java,,,,,"Sí, pasiva",0,Bruto,Full-Time,75500,Bruto,3,3,No,No recibo bono,Dos,25.5,101-200,No,No cambié de empresa,"Aumento por inflación, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Stock options / Shares, Vacaciones flexibles (adicionales a las reglamentarias)"
Mujer,37 - 40,Ciudad Autónoma de Buenos Aires,10+,1,Sí,6,Posgrado,Completado,Económicas & Sistemas,"Sí, de forma particular",PM,,,,,,,,,,Freelance,85000,Bruto,3,2,No,No recibo bono,Uno,15,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,2,Sí,5,Universitario,Completado,Ingeniería en Sistemas,No,IT Infrastructure Lead,,,,,,,,,,Full-Time,80000,Bruto,3,3,No,No recibo bono,Uno,10,1001-2000,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Laptop, Playroom, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,46 - 49,Ciudad Autónoma de Buenos Aires,6,2,No,0,Universitario,Incompleto,Ciencias económicas ,No,Tech sales ,,,,,,,,,,Full-Time,70000,Bruto,3,3,3+ sueldos,Ventas,Dos,29,2001-5000,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Laptop, Viajes al exterior, Viáticos"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Secundario,Completado,,No,SRE,,,,,,,,,,Full-Time,74000,Bruto,3,3,De uno a tres sueldos,Mix de las anteriores,Uno,17,5001-10000,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes, Snacks, golosinas, bebidas, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Universitario,Incompleto,Ingeniería en Sistemas,"Sí, de forma particular",PM,,,,,,,,,,Full-Time,27000,Neto,2,2,No,No recibo bono,Uno,27,51-100,Sí,Cierre,"Laptop, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,3,No,0,Terciario,Completado,tecnicatura en programacion,No,Developer,,"Go, Ruby",,,,,No,0,Bruto,Full-Time,100000,Bruto,4,4,No,No recibo bono,Uno,5,1001-2000,No,No cambié de empresa,"Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Universitario,Incompleto,,"Sí, de forma particular, Sí, los pagó un empleador",SysAdmin / DevOps,"AIX, Linux, Solaris",Python,,,,,No,0,Bruto,Full-Time,91000,Bruto,4,4,De uno a tres sueldos,Mix de las anteriores,Uno,5,1001-2000,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Masajes, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, Viáticos, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,8,5,Sí,2,Universitario,Incompleto,Sistemas,"Sí, de forma particular",Developer,,"C++, C#, CSS, Javascript, Python, AS3",,,,,"Sí, pasiva",0,Neto,Full-Time,50000,Neto,1,1,No,No recibo bono,Dos,20,10001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,4,Sí,14,Terciario,Completado,Tec sup en Análisis de Sistemas,"Sí, de forma particular, Sí, los pagó un empleador",PM,,,,,,,,,,Full-Time,36000,Neto,1,1,No,No recibo bono,Dos,20,1001-2000,No,No cambié de empresa,"Abono de celular y/o Internet, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,1,No,0,Universitario,Completado,ciencias de la computación,"Sí, los pagó un empleador",Developer,,"Java, NodeJS, groovy, shell",,,,,"Sí, pasiva",0,Bruto,Full-Time,112000,Bruto,4,3,No,No recibo bono,Dos,28,1001-2000,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, Playroom, Snacks, golosinas, bebidas, Stock options / Shares, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior"
Mujer,27 - 30,Ciudad Autónoma de Buenos Aires,2,Menos de un año,No,0,Universitario,Incompleto,Ingeniería en informática ,"Sí, de forma particular",Designer,,,,,,,,,,Full-Time,23000,Neto,3,3,No,No recibo bono,No,0,1-10,Sí,Salario,"Comidas pagas/subvencionadas, Horarios flexibles, Playroom, WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Universitario,Completado,Ingeniería en computación,"Sí, los pagó un empleador",SAP Basis,,,,,,,,,,Full-Time,68000,Bruto,3,4,Un sueldo,Performance individual,Uno,10,101-200,Sí,Salario,"Capacitaciones y/o cursos, Laptop"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,10+,Sí,4,Universitario,Completado,Ingenieria en sistemas,No,PM,,,,,,,,,,Full-Time,50850,Bruto,2,2,No,No recibo bono,Uno,20,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5,1,Sí,7,Universitario,En curso,Ing Telecomunicaciónes,No,Gerente IT,,,,,,,,,,Full-Time,66250,Bruto,3,3,De uno a tres sueldos,Mix de las anteriores,Dos,30,11-50,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, Masajes, Playroom, Snacks, golosinas, bebidas, Stock options / Shares, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,8,Menos de un año,No,0,Universitario,Incompleto,Ingenieria en informática ,"Sí, de forma particular, Sí, los pagó un empleador",Architect,,,,,,,,,,Full-Time,35000,Neto,2,3,No,No recibo bono,No,0,201-500,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Laptop, Playroom, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,46 - 49,Ciudad Autónoma de Buenos Aires,10+,2,Sí,7,Universitario,Incompleto,Ingeniería en electrónica,"Sí, los pagó un empleador",Gerente de sistemas,,,,,,,,,,Full-Time,75,Bruto,3,3,No,No recibo bono,Uno,17,11-50,No,No cambié de empresa,"Abono de celular y/o Internet, Snacks, golosinas, bebidas, Viáticos"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,10+,Sí,10,Universitario,Incompleto,Lic. Informatica,"Sí, de forma particular, Sí, los pagó un empleador",Gerente Sistemas,,,,,,,,,,Full-Time,120000,Neto,4,4,Menos de un sueldo,Performance de la compañía,Uno,30,11-50,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, Viáticos"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,10+,Sí,1,Secundario,Completado,Tecnico mecanico,"Sí, los pagó un empleador",SysAdmin / DevOps,"Linux, Windows","HTML, PHP",,,,,No,0,Neto,Full-Time,21000,Neto,3,3,No,No recibo bono,Dos,17,51-100,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,9,Menos de un año,No,0,Secundario,Completado,Técnico Electrónico,"Sí, de forma particular",Infosec,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,24000,Neto,3,4,No,No recibo bono,No,0,51-100,Sí,Desafíos profesionales,"Capacitaciones y/o cursos, Laptop, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,7,No,0,Universitario,Completado,ING en sistemas ,"Sí, de forma particular",Developer,,".NET, C#, HTML, Java, Javascript",,,,,No,0,Porcentaje de mi sueldo,Full-Time,28700,Neto,2,2,No,No recibo bono,Dos,34,501-1000,No,No cambié de empresa,"Clases de idiomas, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,7,No,0,Universitario,En curso,Sistemas de Información,No,Infosec,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,28500,Neto,1,1,No,No recibo bono,No,0,201-500,No,No cambié de empresa,Ninguna de las anteriores
